Photo ID,ID,Date Taken,Time of Day,Exact Time,Category,On Campus,Location Type,Specific Location,Emotion Tag,Satisfaction Rate (0-10),Color Mood,Short Description,Reflection / Diary Note,Event Type / Organized By
IMG_9319,38,2025-10-30,Noon,13:14,Food,y,Dining Hall,Rocky,warm,8,,Too good for Rocky,,
IMG_9306,39,2025-10-29,Evening,17:51,Food,y,Dining Hall,Rocky,cozy,6,,Too hard to eat,,
IMG_9298,40,2025-10-29,Noon,12:08,Food,y,Dining Hall,Rocky,cozy,6,,Not bad but not good,,
IMG_9295,41,2025-10-28,Night,20:36,Food,y,Campus,Frist Campus Center,warm,8,,"Chef Special in Frist, the shrimp and vegetables are good",,
IMG_9294,42,2025-10-28,Evening,17:48,Food,y,Dining Hall,Rocky,cozy,6,,,,
IMG_9289,43,2025-10-28,Morning,8:53,Food,y,Dining Hall,Rocky,cozy,6,,,,
IMG_9282,44,2025-10-27,Evening,17:51,Food,y,Campus,Friend Center,happy,10,,exceptionally good!!!,,
IMG_9276,45,2025-10-27,Afternoon,15:14,Food,y,Campus,Frist Campus Center,warm,8,,good,,
IMG_9274,46,2025-10-27,Noon,12:11,Food,y,Dining Hall,Rocky,cold,2,,so bad...,,
IMG_9272,47,2025-10-27,Morning,8:44,Food,y,Dining Hall,Rocky,cold,5,,cereal not bad,,
IMG_9812,48,2025-11-18,Noon,12:18,Food,y,Restaurant,O Fresh,happy,10,,so cold today; really need something warm to eat!,,
IMG_9247,49,2025-10-25,Afternoon,15:21,Food,n,Restaurant,Xibei Cuisine,warm,8,,the lamp tasts a bit weird; not very fresh,,
IMG_9249,50,2025-10-25,Night,20:00,Food,y,Dining Hall,Rocky,cold,3,,Locked in for COS assignment and nearly forgot dinner; had soup in dhall just before it closed,,
IMG_9255,51,2025-10-26,Noon,12:02,Food,y,Restaurant,Lan Ramen,happy,10,,lunch with rm on Nassau St. Sour Sweet Ribs were gorgeous,,
